Text,Chapter_Name
Introduction,Introduction
"This chapter provides the outline, purpose, and organization of this manual, and other information necessary for using this manual. It also includes contact information and important notices.",Introduction
About the Contents of This Manual,Introduction
"The manuals provided with this system include the information about the installation, operation, and preventive maintenance for TEL manufactured equipment as well as its support equipment. Please keep the manuals in a location close to the equipment so that it is easily accessible when it is needed.",Introduction
Some of the manuals are separated into volumes according to purpose and contents and the users are required to refer to other related manuals. Please use the manuals after understanding the content and how to use each manual.,Introduction
Before Operating the Equipment,Introduction
"To prevent loss or corruption of data and damage to the equipment due to improper operation and ensure safe operation of the system, this system has three equipment operation levels (normal operation, process operation, and equipment operation) so that a user can access only the screens and functions that are allowed for the user, according to the operation level that has been assigned to the user according to his/her position, knowledge of the equipment, and skills. Therefore, the manuals you should read vary according to your operation level.",Introduction
"Before operating the equipment, you must carefully read and thoroughly understand the contents of applicable TEL manuals, as well as completing the necessary training classes. All the TEL manuals are prepared on the assumption that the operator has received the necessary trainings.",Introduction
The following table lists the manuals and training courses that TEL require for each operation level.,Introduction
Operation Level and Applicable Manuals,Introduction
Office Organization,Introduction
Operation Level Applicable Manuals Required Training Courses,Introduction
General operators Normal operation (To operate production processing),Introduction
• TEL Safety and Environmental Guidelines • System Safety Manual • Process Module Safety Manual • Basic Operations Manual,Introduction
Training course level 1,Introduction
Office Organization,Introduction
Operation Level Applicable Manuals Required Training Courses,Introduction
Process operators Process operation (To edit process recipes),Introduction
• TEL Safety and Environmental Guidelines • System Safety Manual • Process Module Safety Manual • Basic Operations Manual • Advanced Operations Manual • Advanced Operations Recipe Manual • Process Manual • System Theory of Operation Manual • Process Module Theory of Operation Manual,Introduction
Training course level 1,Introduction
Maintenance operator,Introduction
"Equipment operation (To perform maintenance, inspection, and adjustment)",Introduction
• TEL Safety and Environmental Guidelines • System Safety Manual • Process Module Safety Manual • Basic Operations Manual • Advanced Operations Manual • Advanced Operations Recipe Manual • Advanced Operations Maintenance Macro Manual • Advanced Operations Maintenance Manual • Advanced Operations Parameter Manual • System Maintenance Manual • Process Module Maintenance Manual • System Theory of Operation Manual • Process Module Theory of Operation Manual,Introduction
Training course level 1 and 2,Introduction
Installation worker — • TEL Safety and Environmental Guidelines • System Safety Manual • Process Module Safety Manual • System Installation/Startup Manual • Process Module Installation/Start-up Manual,Introduction
How to Use this Set of Manuals,Introduction
How to Use Each Manual,Introduction
